SSE-value;Number of active centroids(n);Number of active centroids(%)
18692121470189152;15;100.0
18216050687802112;15;100.0
18061138524363592;15;100.0
18086687186046028;14;93.33333333333333
18199432920633432;13;86.66666666666667
18410482615696956;13;86.66666666666667
18538061966903064;11;73.33333333333333
18554124726416616;8;53.333333333333336
18557152438513200;7;46.666666666666664
18589727935291384;6;40.0
18738219607146536;6;40.0
18820570862833880;6;40.0
18823599391404744;6;40.0
18825308793500464;2;13.333333333333334
18823415784072664;2;13.333333333333334
18821404448163720;2;13.333333333333334
18821404448163720;0;0.0
